index,package_cycles,dram_cycles,package_ms,dram_ms
159,1357598,1378664,0.678799,0.689332
160,2834880,2772566,1.41744,1.386283
161,1550580,1793380,0.77529,0.89669
162,1415348,1467266,0.707674,0.733633
163,2641302,2559686,1.320651,1.279843
164,1527552,1684964,0.763776,0.842482
165,1653942,1675252,0.826971,0.837626
166,2895714,2453582,1.447857,1.226791
167,1384516,2882060,0.692258,1.44103
168,3078642,2035016,1.539321,1.017508
169,1685984,1465490,0.842992,0.732745
170,1569136,1452800,0.784568,0.7264
171,1580936,2521576,0.790468,1.260788
172,2628662,1653400,1.314331,0.8267
173,1586490,1712784,0.793245,0.856392
174,1661380,2760208,0.83069,1.380104
175,3008572,1628266,1.504286,0.814133
176,1552440,1596650,0.77622,0.798325
177,1415020,2599008,0.70751,1.299504
178,2852458,1678348,1.426229,0.839174
179,1615130,1726256,0.807565,0.863128
180,1790622,2463044,0.895311,1.231522
181,2632728,1689062,1.316364,0.844531
182,1657532,1648224,0.828766,0.824112
183,1495976,2856792,0.747988,1.428396
184,2715922,1546742,1.357961,0.773371
185,1497376,1608390,0.748688,0.804195
186,2695938,2800524,1.347969,1.400262
187,1552164,1682360,0.776082,0.84118
188,1775634,1725752,0.887817,0.862876
189,2669694,2584666,1.334847,1.292333
190,1720390,1454612,0.860195,0.727306
191,1605874,2679416,0.802937,1.339708
192,2578690,1562542,1.289345,0.781271
193,1446636,2977928,0.723318,1.488964
194,1846066,1337020,0.923033,0.66851
195,2817106,1504904,1.408553,0.752452
196,1689788,2792630,0.844894,1.396315
197,1597484,1573602,0.798742,0.786801
198,2808196,1527120,1.404098,0.76356
199,1290396,2936730,0.645198,1.468365
200,2746964,1425468,1.373482,0.712734
201,1791944,1492156,0.895972,0.746078
202,1399920,2813934,0.69996,1.406967
203,2873136,1415714,1.436568,0.707857
204,1740430,2513646,0.870215,1.256823
205,1553104,1603410,0.776552,0.801705
206,1800942,1667256,0.900471,0.833628
207,1686382,2780794,0.843191,1.390397
208,2932018,1651658,1.466009,0.825829
209,1506776,2890144,0.753388,1.445072
210,2644358,1876738,1.322179,0.938369
211,1668762,1734782,0.834381,0.867391
212,1667394,1675834,0.833697,0.837917
213,2506586,1732456,1.253293,0.866228
214,1333048,2816534,0.666524,1.408267
215,2877892,1631474,1.438946,0.815737
216,1818636,1702640,0.909318,0.85132
217,1261360,1613580,0.63068,0.80679
218,2548508,2818652,1.274254,1.409326
219,1489292,1743218,0.744646,0.871609
220,2828154,1522384,1.414077,0.761192
221,1546788,2688560,0.773394,1.34428
222,1445834,1659270,0.722917,0.829635
223,2755214,1390696,1.377607,0.695348
224,1455046,2572844,0.727523,1.286422
225,2614446,1642216,1.307223,0.821108
226,1447992,2467324,0.723996,1.233662
227,2773254,1438468,1.386627,0.719234
228,1296928,2785658,0.648464,1.392829
229,3001016,1615594,1.500508,0.807797
230,2150830,2497356,1.075415,1.248678
